artist|title|year|lyric
Taylor Swift|stay stay stay|2012|I'm pretty sure we almost broke up last night I threw my phone across the room at you I was expecting some dramatic turn away but you stayed This morning I said we should talk about it Cause I read you should never leave a fight unresolved That's when you came in wearing a football helmet And said okay let's talk And I said... Stay stay stay i've been loving you for quite some time time time You think that it's funny when i'm mad mad mad But I think that it's best if we both stay Before you I only dated self indulgent takes who took all of their problems out on me But you carrying my groceries and now I'm always laughing And I love you because you have given me no choice but to Stay stay stay I've been loving you for quite some time time time You think that it's funny when I'm mad mad mad But I think that it's best if we both stay stay stay stay You took the time to memorize me my feels my hopes and dreams I just like hanging out with you all the time All those times that you didn't leave it's been occuring to me I'd like to hang out with you for my whole life Stay and i'll be loving you for quite some time No one else is gonna love me when I get mad mad mad So I think that it's best if we both stay stay stay stay Stay stay stay i've been loving you for quite some time time time You think that it's funny when i'm mad mad mad But I think that it's best if we both stay stay stay stay Stay stay stay i've been loving you for quite some time time time You think that it's funny when i'm mad mad mad But I think that it's best if we both stay
Taylor Swift|blank space|2014|Nice to meet you, where you been? I could show you incredible things Magic, madness, heaven, sin Saw you there and I thought "Oh, my God, look at that face!" You look like my next mistake Love's a game, wanna play? New money, suit and tie I can read you like a magazine Ain't it funny? Rumors fly And I know you heard about me So hey, let's be friends I'm dying to see how this one ends Grab your passport and my hand I can make the bad guys good for a weekend So it's gonna be forever Or it's gonna go down in flames You can tell me when it's over If the high was worth the pain Got a long list of exlovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless We'll take this way too far It'll leave you breathless Or with a nasty scar Got a long list of exlovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name Cherry lips, crystal skies I could show you incredible things Stolen kisses, pretty lies You're the King, baby, I'm your Queen Find out what you want Be that girl for a month Wait, the worst is yet to come, oh no Screaming, crying, perfect storms I can make all the tables turn Rose garden filled with thorns Keep you second guessing like "Oh, my God, who is she?" I get drunk on jealousy But you'll come back each time you leave 'Cause, darling, I'm a nightmare dressed like a daydream So it's gonna be forever Or it's gonna go down in flames You can tell me when it's over If the high was worth the pain Got a long list of exlovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless We'll take this way too far It'll leave you breathless Or with a nasty scar Got a long list of exlovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name Boys only want love if it's torture Don't say I didn't say, I didn't warn ya Boys only want love if it's torture Don't say I didn't say, I didn't warn ya So it's gonna be forever Or it's gonna go down in flames You can tell me when it's over If the high was worth the pain Got a long list of exlovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless We'll take this way too far It'll leave you breathless Or with a nasty scar Got a long list of exlovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name
Taylor Swift|i think he knows|2019| I think he knows His footprints on the sidewalk Lead to where I can't stop Go there every night I think he knows His hands around a cold glass Make me wanna know that Body like it's mine He got that boyish look that I like in a man I am an architect, I'm drawing up the plans It's like I'm , nobody understands No one understands He got my heartbeat Skipping down th Avenue I got that, ah, I mean Wanna see what's under that attitude like I want you, bless my soul And I ain't gotta tell him, I think he knows I think he knows I think he knows When we get all alone I'll make myself at home And he'll want me to stay I think he knows He'd better lock it down Or I won't stick around 'Cause good ones never wait He got that boyish look that I like in a man I am an architect, I'm drawing up the plans He's so obsessed with me and, boy, I understand Boy, I understand He got my heartbeat Skipping down th Avenue I got that, ah, I mean Wanna see what's under that attitude like I want you, bless my soul And I ain't gotta tell him, I think he knows I think he knows I want you, bless my I want you, bless my I want you, bless my I want you, bless my soul Lyrical smile, indigo eyes, hand on my thigh We could follow the sparks, I'll drive Lyrical smile, indigo eyes, hand on my thigh We could follow the sparks, I'll drive "So where we gonna go?" I whisper in the dark "Where we gonna go?" I think he knows He got my heartbeat Skipping down th Avenue I got that, ah, I mean Wanna see what's under that attitude like I want you, bless my soul And I ain't gotta tell him, I think he knows I think he knows I want you, bless my I want you, bless my I want you, bless my I want you, bless my soul I want you, bless my I want you, bless my I want you, bless my soul And I ain't gotta tell him, I think he knows 
Taylor Swift|death by a thousand cuts|2019| My, my, my, my My, my, my, my My, my, my, my My, my, my, my My, my, my, my My, my, my, my My, my, my, my My, my, my, my Saying goodbye is death by a thousand cuts Flashbacks waking me up I get drunk, but it's not enough 'Cause the morning comes and you're not my baby I look through the windows of this love Even though we boarded them up Chandelier's still flickering here 'Cause I can't pretend it's okay when it's not It's death by a thousand cuts I dress to kill my time, I take the long way home I ask the traffic lights if it'll be alright They say, "I don't know" And what once was ours is no one's now I see you everywhere, the only thing we share Is this small town You said it was a great love, one for the ages But if the story's over, why am I still writing pages? 'Cause saying goodbye is death by a thousand cuts Flashbacks waking me up I get drunk, but it's not enough 'Cause the morning comes and you're not my baby I look through the windows of this love Even though we boarded them up Chandelier's still flickering here 'Cause I can't pretend it's okay when it's not It's death by a thousand cuts My heart, my hips, my body, my love Tryna find a part of me that you didn't touch Gave up on me like I was a bad drug Now I'm searching for signs in a haunted club Our songs, our films, united we stand Our country, guess it was a lawless land Quiet my fears with the touch of your hand Paper cut stings from our paperthin plans My time, my wine, my spirit, my trust Tryna find a part of me you didn't take up Gave you so much, but it wasn't enough But I'll be alright, it's just a thousand cuts I get drunk, but it's not enough 'Cause you're not my baby I look through the windows of this love Even though we boarded them up Chandelier's still flickering here 'Cause I can't pretend it's okay when it's not No, it's not It's death by a thousand cuts Tryna find a part of me that you didn't touch My body, my love, my trust But it wasn't enough, it wasn't enough, no, no I take the long way home I ask the traffic lights if it'll be alright They say, "I don't know" 
Taylor Swift|today was a fairytale|2010|Today was a fairytale, you were the prince I used to be a damsel in distress You took me by the hand, and you picked me up at six Today was a fairytale, today was a fairytale Today was a fairytale, I wore a dress You wore a dark gray tshirt You told me I was pretty when I looked like a mess Today was a fairytale Time slows down whenever you're around But can you feel this magic in the air? It must have been the way you kissed me Fell in love when I saw you standing there It must have been the way Today was a fairytale It must have been the way Today was a fairytale Today was a fairytale You've got a smile that takes me to another planet Every move you make, everything you say is right Today was a fairytale Today was a fairytale All that I can say is now it's getting so much clearer Nothing made sense until the time I saw your face Today was a fairytale Time slows down whenever you're around Yeah yeah But can you feel this magic in the air? It must have been the way you kissed me Fell in love when I saw you standing there It must have been the way Today was a fairytale It must have been the way Today was a fairytale Time slows down whenever you're around I can feel my heart, it's beating in my chest Did you feel it? I can't put this down But can you feel this magic in the air? It must have been the way you kissed me Fell in love when I saw you standing there It must have been the way But can you feel this magic in the air? It must have been the way you kissed me Fell in love when I saw you standing there It must have been the way Today was a fairytale It must have been the way Today was a fairytale Today was a fairytale
Taylor Swift|22|2013|It feels like a perfect night to dress up like hipsters And make fun of our exes, uh uh uh uh It feels like a perfect night for breakfast at midnight To fall in love with strangers, uh uh uh uh Yeaaaah We're happy free confused and lonely at the same time It's miserable and magical, ohyeah Tonight's the night when we forget about the deadlines It's time, uh uh I don't know about you but I'm feeling Everything will be alright if you keep me next to you You don't know about me but I bet you want to Everything will be alright if we just keep dancing like we're , It seems like one of those nights This place is too crowded too many cool kids It seems like one of those nights We ditch the whole scene and end up dreaming instead of sleeping Yeaaaah We're happy free confused and lonely in the best way It's miserable and magical, ohyeah Tonight's the night when we forget about the heartbreaks It's time, uh uh I don't know about you but im feeling Everything will be alright if you keep me next to you You don't know about me but I bet you want to Everything will be alright if we just keep dancing like we're , I don't know about you , It feels like one of those nights We ditch the whole scene It feels like one of those nights We won't be sleeping It feels like one of those nights You look like bad news, I gotta have you, I gotta have you I don't know about you but im feeling Everything will be alright if you keep me next to you You don't know about me but I bet you want to Everything will be alright if we just keep dancing like we're , Dancing like Yeah, , yeah yeah It feels like one of those nights We ditch the whole scene It feels like one of those nights We won't be sleeping It feels like one of those nights You look like bad news I gotta have you, I gotta have you
Taylor Swift|superstar|2009|This is wrong but I can't help but feel like There ain't nothing more out there Misty morning comes again and I can't Help but wish I could see your face And I knew from the first note played I'd be breaking all my rules to see you You smile that beautiful smile And all the girls in the front row scream your name So dim that spotlight, tell me things like I can't take my eyes off of you I'm no one special, just another wideeyed girl Who's desperately in love with you Give me a photograph to hang on my wall Superstar Good morning loneliness Comes around when I'm not dreaming about you When my world wakes up today you'll be in another town And I knew when I saw your face I'd be Counting down the ways to see you And you smile that beautiful smile And all the girls in the front row scream your name So dim that spotlight, tell me things like I can't take my eyes off of you I'm no one special, just another wideeyed girl Who's desperately in love with you Give me a photograph to hang on my wall Superstar You played in bars, you play guitar And I'm invisible and everyone knows who you are And you'll never see, you sing me to sleep Every night from the radio So dim that spotlight, tell me things like I can't take my eyes off of you I'm no one special, just another wideeyed girl Who's desperately in love with you Give me a photograph to hang on my wall Superstar Sweet, sweet superstar Superstar
Taylor Swift|youre not sorry|2008|All this time I was wasting Hoping you would come around I've been giving out chances every time And all you do is let me down And it's taken me this long Baby but I figured you out And you're thinking we'll be fine again But not this time around You don't have to call anymore I won't pick up the phone This is the last straw Don't wanna hurt anymore And you can tell me that you're sorry But I don't believe you baby Like I did before You're not sorry, no no oh Looking so innocent I might believe you if I didn't know Could've loved you all my life If you hadn't left me waiting in the cold And you got your share of secrets And I'm tired of being last to know And now you're asking me to listen Cause it's worked each time before But you don't have to call anymore I won't pick up the phone This is the last straw Don't wanna hurt anymore And you can tell me that you're sorry But I don't believe you baby Like I did before You're not sorry, no no, oh You're not sorry no no oh You had me crying for you honey And it never would've gone away, no You used to shine so bright But I watched all of it fade So you don't have to call anymore I won't pick up the phone This is the last straw There's nothing left to beg for And you can tell me that you're sorry But I don't believe you baby Like I did before You're not sorry, no no oh You're not sorry, no no
Taylor Swift|afterglow|2019| I blew things out of proportion, now you're blue Put you in jail for something you didn't do I pinned your hands behind your back, oh Thought I had reason to attack, but no Fighting with a true love is boxing with no gloves Chemistry 'til it blows up, 'til there's no us Why'd I have to break what I love so much? It's on your face, and I'm to blame, I need to say Hey, it's all me, in my head I'm the one who burned us down But it's not what I meant Sorry that I hurt you I don't wanna do, I don't wanna do this to you I don't wanna lose, I don't wanna lose this with you I need to say, hey, it's all me, just don't go Meet me in the afterglow It's so excruciating to see you low Just wanna lift you up and not let you go This ultraviolet morning light below Tells me this love is worth the fight, oh I lived like an island, punished you with silence Went off like sirens, just crying Why'd I have to break what I love so much? It's on your face, don't walk away, I need to say Hey, it's all me, in my head I'm the one who burned us down But it's not what I meant I'm sorry that I hurt you I don't wanna do, I don't wanna do this to you I don't wanna lose, I don't wanna lose this with you I need to say, hey, it's all me, just don't go Meet me in the afterglow Tell me that you're still mine Tell me that we'll be just fine Even when I lose my mind I need to say Tell me that it's not my fault Tell me that I'm all you want Even when I break your heart I need to say Hey, it's all me, in my head I'm the one who burned us down But it's not what I meant Sorry that I hurt you I don't wanna do, I don't wanna do this to you I don't wanna lose, I don't wanna lose this with you I need to say, hey, it's all me, just don't go Meet me in the afterglow 
Taylor Swift|the moment i knew|2013|You should've been there, Should've burst through the door, With that 'baby I'm right here' smile, And it would've felt like, A million little shining stars had just aligned, And I would've been so happy. Christmas lights glisten, I've got my eye on the door, Just waiting for you to walk in, But the time is ticking, People ask me how I've been As I comb back through my memory, How you said you'd be here, You said you'd be here. And it was like slow motion, Standing there in my party dress, In red lipstick, With noone to impress, And they're all laughing, As I'm looking around the room, But there's one thing missing, And that was the moment I knew. And the hours pass by, Now I just wanna be alone, But your close friends always seem to know When there's something really wrong, So they follow me down the hall, And there in the bathroom, I try not to fall apart, And the sinking feeling starts, As I say hopelessly, "He said he'd be here." And it was like slow motion, Standing there in my party dress, In red lipstick, With noone to impress, And they're all laughing, And asking me about you, But there was one thing missing, And that was the moment I knew. What do you say When tears are streaming down your face, In front of everyone you know? And what do you do when the one Who means the most to you, is the one who didn't show? You should've been here. And I would've been so happy. And it was like slow motion, Standing there in my party dress, In red lipstick, With noone to impress, And they're all standing around me singing, Happy Birthday to you, But there's one thing missing, And that was the moment I knew. Ooh, I knew. You called me later, And said "I'm sorry I didn't make it" And I said "I'm sorry too" And that was the moment I knew.
Taylor Swift|out of the woods|2016|Looking at it now It all seems so simple We were lying on your couch I remember You took a Polaroid of us Then discovered The rest of the world was black and white But we were in screaming color And I remember thinking... Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet? In the clear yet, good Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet? In the clear yet, good Are we out of the woods? Looking at it now Last December We were built to fall apart Then fall back together Uh, your necklace hanging from my neck The night we couldn't quite forget When we decided To move the furniture so we could dance Baby, like we stood a chance Two paper airplanes flying, flying flying And I remember thinking... Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet? In the clear yet, good Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet? In the clear yet, good Are we out of the woods? Remember when you hit the brakes too soon Twenty stitches in a hospital room When you started crying, baby, I did too But when the sun came up I was looking at you Remember when we couldn't take the heat I walked out, I said "I'm setting you free" But the monsters turned out to be just trees When the sun came up you were looking at me You were looking at me, oh You were looking at me Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet? In the clear yet, good Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet? In the clear yet, good Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet? In the clear yet, good Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet? In the clear yet, good Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods yet? Are we out of the woods? Are we in the clear yet? Are we in the clear yet? Are we in the clear yet? In the clear yet, good
Taylor Swift|shouldve said no|2008|It's strange to think the songs we used to sing The smiles, the flowers, everything is gone Yesterday I found out about you Even now just looking at you feels wrong You say that you'd take it all back, given one chance It was a moment of weakness and you said yes You should've said no, you should've gone home You should've thought twice 'fore you let it all go You should've known that word, 'bout what you did with her'd get back to me And I should've been there, in the back of your mind I shouldn't be asking myself why You shouldn't be begging for forgiveness at my feet You should've said no, baby and you might still have me You can see that I've been crying And baby you know all the right things to say But do you honestly expect me to believe We could ever be the same You say that the past is the past, you need one chance It was a moment of weakness and you said yes You should've said no, you should've gone home You should've thought twice 'fore you let it all go You should've known that word, 'bout what you did with her'd get back to me And I should've been there, in the back of your mind I shouldn't be asking myself why You shouldn't be begging for forgiveness at my feet You should've said no, baby and you might still have me Oh oh oh I can't resist, before you go, tell me this Was it worth it? Was she worth this? No, oh no, no, no, no, no You should've said no, you should've gone home You should've thought twice 'fore you let it all go You should've known that word, 'bout what you did with her'd get back to me And I should've been there, in the back of your mind I shouldn't be asking myself why You shouldn't be begging for forgiveness at my feet You should've said no, baby and you might still have me
Taylor Swift|me|2019|You're on the phone with your girlfriend, she's upset She's going off about something that you said Cause she doesn't get your humor like I do I'm in the room, it's a typical Tuesday night I'm listening to the kind of music she doesn't like And she'll never know your story like I do But she wears short skirts, I wear Tshirts She's Cheer Captain and I'm on the bleachers Dreaming about the day when you wake up and find That what you're looking for has been here the whole time If you could see that I'm the one who understands you Been here all along, so why can't you see? You belong with me, you belong with me Walking the streets with you and your wornout jeans I can't help thinking this is how it ought to be Laughing on a park bench, thinking to myself Hey, isn't this easy? And you've got a smile that could light up this whole town I haven't seen it in a while since she brought you down You say you're fine, I know you better than that Hey, what ya doing with a girl like that? She wears high heels, I wear sneakers She's Cheer Captain and I'm on the bleachers Dreaming about the day when you wake up and find That what you're looking for has been here the whole time If you could see that I'm the one who understands you Been here all along, so why can't you see? You belong with me Standing by and waiting at your back door All this time how could you not know, baby? You belong with me, you belong with me Oh, I remember you driving to my house in the middle of the night I'm the one who makes you laugh when you know you're 'bout to cry And I know your favorite songs and you tell me 'bout your dreams Think I know where you belong, think I know it's with me Can't you see that I'm the one who understands you? Been here all along, so why can't you see? You belong with me Standing by and waiting at your back door All this time, how could you not know, baby? You belong with me, you belong with me You belong with me Have you ever thought just maybe You belong with me? You belong with me
